car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
2018 Toyota Yaris J,Sep-18,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17.1,1496,1496,10594,6.95
2015 Toyota Fortuner 4x2 AT,Sep-15,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12.55,2982,2982,1685,16
2020 Hyundai Creta SX Turbo BSVI,Aug-20,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16.8,1353,1353,13808,15.22
2018 Jaguar XE 2.0L Diesel Portfolio,Jul-18,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13.5,1999,1999,177,26.95
2019 Hyundai i20 Sportz Plus BSIV,Nov-19,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18.6,1197,1197,8186,6.7
2018 Jeep Compass 2.0 Longitude Option BSIV,2018,Third Party insurance,Diesel,5,40000,First Owner,Manual,2018,17.1,1956,1956,170,10.75
2019 BMW X1 sDrive 20d xLine,Oct-19,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20.68,1995,1995,188,25.5
2022 Maruti Swift ZXI Plus DT AMT BSVI,Dec-22,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22.56,1197,1197,8850,8.38
2018 Hyundai Creta 1.6 SX Automatic Diesel,Jun-18,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17.6,1582,1582,1262,10.9
2017 Honda Amaze S i-VTEC,2017,Third Party insurance,Petrol,5,100000,First Owner,Manual,2017,17.8,1198,1198,867,3.95
2022 Tata Tiago XZ Plus CNG BSVI,Aug-22,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26.49,1199,1199,72,7.25
2017 Honda Jazz 1.5 E i DTEC,Jun-17,Comprehensive,Diesel,5,62000,First Owner,Manual,2017,1498,986,986,200,4.75
2010 Volkswagen Beetle 2.0,May-10,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10.98,1984,1984,1144,11.95
2023 Honda City ZX CVT,Mar-23,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18.4,1498,1498,11935,16
2015 Maruti Baleno 1.2 Alpha,Nov-15,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21.4,1197,1197,831,5.45
2019 Honda CR-V 2.0 CVT,Aug-19,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14.4,1997,1997,15189,22.95
2020 Kia Seltos HTX Plus Diesel,Sep-20,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20.8,1493,1493,11343,13.51
2021 Mercedes-Benz C-Class Progressive C 200,Jul-21,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11.9,1950,1950,20115,40.75
2018 Mahindra Scorpio S11,Aug-18,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15.4,2179,2179,13678,14.5
2020 Kia Seltos GTX DCT,Jun-20,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16.2,1353,1353,138,13.99
2021 Toyota Yaris J BSIV,Apr-21,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17.1,1496,1496,1055,6.95
2023 BMW 5 Series 530i M Sport BSVI,Nov-23,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14.82,1998,1998,24808,65
2020 Renault KWID Climber 1.0 AMT Opt,Dec-20,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22,999,999,67,5.15
2021 Jeep Compass 1.4 Sport BSVI,Jun-21,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14.3,1368,1368,16077,15.95
2011 Maruti Swift 1.2 VXi BSII,May-11,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16.1,1197,1197,85,2.41
2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,Third Party insurance,Diesel,7,90000,Second Owner,Automatic,2016,11.3,2987,2987,2548,32.5
2017 Honda Jazz V CVT,Oct-17,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17.1,1199,1199,8850,5.95
2014 Hyundai Grand i10 AT Asta,Nov-14,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18.9,1197,1197,82,4.32
2018 Maruti Wagon R CNG LXI,Feb-18,Comprehensive,CNG,5,45000,First Owner,Manual,2018,998,5833,5833,78,4.45
2009 Maruti Swift Dzire VDi,2009,Third Party insurance,Diesel,5,100000,First Owner,Manual,2009,19.3,1248,1248,739,2
2016 Hyundai i10 Sportz,Jul-16,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20.36,1197,1197,789,3.45
2018 Maruti Swift VXI,Aug-18,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22,1197,1197,8180,5.5
2018 Mahindra XUV500 W5,Jul-18,Third Party,Diesel,7,62000,Second Owner,Manual,2018,2179,15287,15287,360,8.5
2023 Honda City ZX CVT,Mar-23,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18.4,1498,1498,11935,16
2015 Maruti Baleno 1.2 Alpha,Nov-15,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21.4,1197,1197,831,5.45
2019 Honda CR-V 2.0 CVT,Aug-19,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14.4,1997,1997,15189,22.95
2020 Kia Seltos HTX Plus Diesel,Sep-20,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20.8,1493,1493,11343,13.51
2021 Mercedes-Benz C-Class Progressive C 200,Jul-21,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11.9,1950,1950,20115,40.75
2018 Mahindra Scorpio S11,Aug-18,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15.4,2179,2179,13678,14.5
2020 Kia Seltos GTX DCT,Jun-20,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16.2,1353,1353,138,13.99
2021 Toyota Yaris J BSIV,Apr-21,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17.1,1496,1496,1055,6.95
2023 BMW 5 Series 530i M Sport BSVI,Nov-23,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14.82,1998,1998,24808,65
2020 Renault KWID Climber 1.0 AMT Opt,Dec-20,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22,999,999,67,5.15
2021 Jeep Compass 1.4 Sport BSVI,Jun-21,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14.3,1368,1368,16077,15.95
2011 Maruti Swift 1.2 VXi BSII,May-11,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16.1,1197,1197,85,2.41
2016 Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2016,Third Party insurance,Diesel,7,90000,Second Owner,Automatic,2016,11.3,2987,2987,2548,32.5
2017 Honda Jazz V CVT,Oct-17,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17.1,1199,1199,8850,5.95
2014 Hyundai Grand i10 AT Asta,Nov-14,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18.9,1197,1197,82,4.32
2018 Maruti Wagon R CNG LXI,Feb-18,Comprehensive,CNG,5,45000,First Owner,Manual,2018,998,5833,5833,78,4.45
2009 Maruti Swift Dzire VDi,2009,Third Party insurance,Diesel,5,100000,First Owner,Manual,2009,19.3,1248,1248,739,2
2016 Hyundai i10 Sportz,Jul-16,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20.36,1197,1197,789,3.45
2018 Maruti Swift VXI,Aug-18,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22,1197,1197,8180,5.5
2018 Mahindra XUV500 W5,Jul-18,Third Party,Diesel,7,62000,Second Owner,Manual,2018,2179,15287,15287,360,8.5
2017 Toyota Camry 2.5 Hybrid,Jul-17,Third Party insurance,Petrol,5,45000,First Owner,Automatic,2017,19.16,2494,2494,1577,22.5
2021 Hyundai i20 Asta Opt Turbo DCT BSVI,Aug-21,Comprehensive,Petrol,5,17041,First Owner,Automatic,2021,20.28,998,998,11841,10.49
2018 Mahindra XUV500 W6 1.99 mHawk,Nov-18,Comprehensive,Diesel,7,49000,First Owner,Manual,2018,16,1997,1997,140,9.25
2020 Hyundai Venue SX Turbo,Aug-20,Comprehensive,Petrol,5,23588,First Owner,Manual,2020,18.27,998,998,11835,9.2
2018 Mercedes-Benz CLA Urban Sport 200d,Oct-18,Comprehensive,Diesel,5,50000,Second Owner,Automatic,2018,17.9,2143,2143,1341,22
2017 Toyota Innova Crysta 2.8 GX AT BSIV,Mar-17,Third Party insurance,Diesel,7,76000,First Owner,Automatic,2017,11.36,2755,2755,1715,14.75
2019 Maruti Baleno Delta,May-19,Comprehensive,Petrol,5,49341,First Owner,Manual,2019,21.01,1197,1197,8180,5.76
2013 Honda Amaze VX i-Vtech,May-13,Comprehensive,Petrol,5,56000,First Owner,Manual,2013,18,1198,1198,867,3.25
2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,May-23,Comprehensive,Petrol,6,12000,First Owner,Automatic,2023,12.34,1451,1451,141,21
2014 Honda City i VTEC V,Jul-14,Comprehensive,Petrol,5,51734,First Owner,Manual,2014,17.8,1497,1497,1173,5.72
2018 Maruti Swift VXI,Jun-18,Third Party insurance,Petrol,5,22000,First Owner,Manual,2018,22,1197,1197,8180,5.75
2018 Hyundai Creta 1.6 SX Diesel,Aug-18,Comprehensive,Diesel,5,45084,First Owner,Manual,2018,20.5,1582,1582,1262,9.22
2015 Mahindra Scorpio S10 AT 4WD,2015,Third Party insurance,Diesel,7,20000,First Owner,Automatic,2015,15.4,2179,2179,120,11
2016 Honda Amaze S i-VTEC,Sep-16,Comprehensive,Petrol,5,29000,First Owner,Manual,2016,17.8,1198,1198,867,4.8
2021 Hyundai Venue SX Turbo,Jan-22,Comprehensive,Petrol,5,16763,First Owner,Manual,2021,18.27,998,998,11835,9.69
2022 Tata Altroz XM plus BSVI,May-22,Third Party insurance,Petrol,5,6000,First Owner,Manual,2022,19.33,1199,1199,8683,6.95
2017 BMW 7 Series 730Ld M Sport,2017,Third Party insurance,Diesel,5,60000,2993 cc,2017,Power Steering,2993,26149,26149,620,55
2015 Mahindra XUV500 W4,Aug-15,Comprehensive,Diesel,7,86000,First Owner,Manual,2015,15.1,2179,2179,140,5.45
2018 Honda Jazz VX CVT,Jul-18,Comprehensive,Petrol,5,24000,First Owner,Automatic,2018,17.1,1199,1199,8850,6.55
2021 Hyundai Venue S,Mar-21,Comprehensive,Petrol,5,9000,First Owner,Manual,2021,20.36,1197,1197,8180,7.75
2017 Toyota Camry 2.5 Hybrid,Jul-17,Third Party insurance,Petrol,5,45000,First Owner,Automatic,2017,19.16,2494,2494,1577,22.5
2021 Hyundai i20 Asta Opt Turbo DCT BSVI,Aug-21,Comprehensive,Petrol,5,17041,First Owner,Automatic,2021,20.28,998,998,11841,10.49
2018 Mahindra XUV500 W6 1.99 mHawk,Nov-18,Comprehensive,Diesel,7,49000,First Owner,Manual,2018,16,1997,1997,140,9.25
2020 Hyundai Venue SX Turbo,Aug-20,Comprehensive,Petrol,5,23588,First Owner,Manual,2020,18.27,998,998,11835,9.2
2018 Mercedes-Benz CLA Urban Sport 200d,Oct-18,Comprehensive,Diesel,5,50000,Second Owner,Automatic,2018,17.9,2143,2143,1341,22
2017 Toyota Innova Crysta 2.8 GX AT BSIV,Mar-17,Third Party insurance,Diesel,7,76000,First Owner,Automatic,2017,11.36,2755,2755,1715,14.75
2019 Maruti Baleno Delta,May-19,Comprehensive,Petrol,5,49341,First Owner,Manual,2019,21.01,1197,1197,8180,5.76
2013 Honda Amaze VX i-Vtech,May-13,Comprehensive,Petrol,5,56000,First Owner,Manual,2013,18,1198,1198,867,3.25
2023 MG Hector Plus 1.5 Turbo Sharp Pro CVT BSVI,May-23,Comprehensive,Petrol,6,12000,First Owner,Automatic,2023,12.34,1451,1451,141,21
2014 Honda City i VTEC V,Jul-14,Comprehensive,Petrol,5,51734,First Owner,Manual,2014,17.8,1497,1497,1173,5.72
2018 Maruti Swift VXI,Jun-18,Third Party insurance,Petrol,5,22000,First Owner,Manual,2018,22,1197,1197,8180,5.75
2018 Hyundai Creta 1.6 SX Diesel,Aug-18,Comprehensive,Diesel,5,45084,First Owner,Manual,2018,20.5,1582,1582,1262,9.22
2015 Mahindra Scorpio S10 AT 4WD,2015,Third Party insurance,Diesel,7,20000,First Owner,Automatic,2015,15.4,2179,2179,120,11
2016 Honda Amaze S i-VTEC,Sep-16,Comprehensive,Petrol,5,29000,First Owner,Manual,2016,17.8,1198,1198,867,4.8
2021 Hyundai Venue SX Turbo,Jan-22,Comprehensive,Petrol,5,16763,First Owner,Manual,2021,18.27,998,998,11835,9.69
2022 Tata Altroz XM plus BSVI,May-22,Third Party insurance,Petrol,5,6000,First Owner,Manual,2022,19.33,1199,1199,8683,6.95
2017 BMW 7 Series 730Ld M Sport,2017,Third Party insurance,Diesel,5,60000,2993 cc,2017,Power Steering,2993,26149,26149,620,55
2015 Mahindra XUV500 W4,Aug-15,Comprehensive,Diesel,7,86000,First Owner,Manual,2015,15.1,2179,2179,140,5.45
2018 Honda Jazz VX CVT,Jul-18,Comprehensive,Petrol,5,24000,First Owner,Automatic,2018,17.1,1199,1199,8850,6.55
2021 Hyundai Venue S,Mar-21,Comprehensive,Petrol,5,9000,First Owner,Manual,2021,20.36,1197,1197,8180,7.75
2022 Kia Carens Prestige Plus Turbo DCT 2022-2023,Mar-22,Comprehensive,Petrol,7,14900,First Owner,Automatic,2022,16.5,1353,1353,13805,16.5
2022 Hyundai i20 N-Line N8 DCT BSVI,Feb-22,Comprehensive,Petrol,5,17172,Second Owner,Automatic,2022,20.25,998,998,11841,10.33
2020 Mercedes-Benz GLE 300d BSVI,Oct-20,Zero Dep,Diesel,5,33000,First Owner,Automatic,2020,1950,24138,24138,500,78
2016 Renault KWID RXT,Apr-16,Third Party insurance,Petrol,5,38000,Second Owner,Manual,2016,25.17,799,799,533,1.85
2022 Tata Altroz XZ Plus BSVI,Sep-23,Comprehensive,Petrol,5,11501,First Owner,Manual,2022,19.33,1199,1199,8683,8.24
2022 Mercedes-Benz GLE 300d BSVI,May-22,Zero Dep,Diesel,5,43703,First Owner,Automatic,2022,1950,24138,24138,500,82.9
2021 Toyota Fortuner Legender 4x2 AT,Dec-21,Comprehensive,Diesel,7,29800,First Owner,Automatic,2021,2755,20115,20115,500,44
2020 Maruti Baleno Zeta,Oct-20,Comprehensive,Petrol,5,22051,First Owner,Manual,2020,21.01,1197,1197,8180,6.98
2021 Maruti Baleno Sigma,Nov-21,Comprehensive,Petrol,5,32965,First Owner,Manual,2021,1197,8180,8180,113,5.75
2014 Hyundai i10 Magna 1.1L,Dec-14,Comprehensive,Petrol,5,96593,First Owner,Manual,2014,1086,6805,6805,9904,2.73
2017 Hyundai Verna 1.6 VTVT SX Option,2017,Third Party insurance,Petrol,5,50000,First Owner,Manual,2017,17.01,1591,1591,1213,6.75
2022 BMW 2 Series 220i M Sport Pro BSVI,Mar-22,Comprehensive,Petrol,5,15000,First Owner,Automatic,2022,14.82,1998,1998,18908,42
2020 Tata Tiago XZ Plus Dual Tone Roof BSVI,Dec-20,Comprehensive,Petrol,5,27138,First Owner,Manual,2020,19.01,1199,1199,8482,5.92
2022 Maruti Baleno 1.2 Delta,Jul-22,Comprehensive,Petrol,5,15000,First Owner,Manual,2022,21.4,1197,1197,831,7.25
2018 Mercedes-Benz CLS-Class 250 CDI,2018,Third Party insurance,Diesel,4,10000,First Owner,Automatic,2018,19.4,2143,2143,204,38
2023 Mahindra Scorpio N Z8L AT BSVI,Jun-23,Comprehensive,Petrol,7,9000,First Owner,Automatic,2023,1997,200,200,380,23.45
2021 Kia Sonet HTX Plus Turbo iMT BSVI,Nov-21,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,18.2,998,998,11836,10.2
2020 Kia Seltos GTX Plus Diesel AT,Nov-20,Comprehensive,Diesel,5,70000,First Owner,Automatic,2020,18,1493,1493,11343,14.95
2020 Mercedes-Benz C-Class Progressive C 220d,Jun-20,Comprehensive,Diesel,5,30000,First Owner,Automatic,2020,12.6,1950,1950,194,37.5
2021 Hyundai i20 N-Line N8 DCT BSVI,Feb-22,Comprehensive,Petrol,5,16684,First Owner,Automatic,2021,20.25,998,998,11841,11.11
2019 Mercedes-Benz AMG C43 4MATIC Coupe,Jul-19,Comprehensive,Petrol,5,30000,First Owner,Automatic,2019,2996,38487,38487,520,67
2012 Maruti Swift LXI BSIV,Dec-12,Comprehensive,Petrol,5,92543,First Owner,Manual,2012,1197,8180,8180,113,2.74
2021 Mahindra XUV700 AX7 AT Luxury Pack BSVI,Nov-21,Comprehensive,Petrol,7,25000,First Owner,Automatic,2021,1999,19713,19713,380,24.75
2016 Ford Ecosport 1.5 Diesel Titanium Plus,Dec-16,Comprehensive,Diesel,5,59870,First Owner,Manual,2016,21.7,1498,1498,9896,4.95
2016 Hyundai i20 Sportz 1.2,Jun-16,Comprehensive,Petrol,5,62700,First Owner,Manual,2016,18.6,1197,1197,8183,5.22
2019 Kia Seltos HTX Plus AT D,Sep-19,Third Party insurance,Diesel,5,42132,First Owner,Automatic,2019,17.8,1493,1493,1134,14.75
2018 Mercedes-Benz CLA 200 CGI Sport,Jul-18,Third Party insurance,Petrol,5,32000,First Owner,Automatic,2018,15.04,1991,1991,183,25.75
2010 Maruti A-Star Zxi,Jun-10,Comprehensive,Petrol,5,58873,First Owner,Manual,2010,19,998,998,661,1.82
2018 Renault Duster Petrol RXS CVT,Nov-18,Comprehensive,Petrol,5,10000,First Owner,Automatic,2018,14.99,1498,1498,1045,7.95
2022 Tata Altroz XZ Plus BSVI,Sep-23,Comprehensive,Petrol,5,14069,First Owner,Manual,2022,19.33,1199,1199,8683,8.24
2014 Nissan Terrano XV 110 PS Limited Edition,2014,Third Party insurance,Diesel,5,100000,1461 cc,2014,Power Steering,1461,1085,1085,248,6
2014 Renault Duster RXL AWD,Oct-14,Third Party insurance,Diesel,5,80000,First Owner,Manual,2014,19.01,1461,1461,10845,2.85
2016 Honda City i VTEC V,Mar-16,Comprehensive,Petrol,5,57453,First Owner,Manual,2016,17.8,1497,1497,1173,6.24
2011 Ford Figo Petrol EXI,Jun-11,Comprehensive,Petrol,5,66717,Second Owner,Manual,2011,1196,70,70,102,70000
2016 Mercedes-Benz GLS 350d 4MATIC,2016,Third Party insurance,Diesel,7,40000,Second Owner,Automatic,2016,11,2987,2987,258,43.33
2022 Volvo XC40 T4 R-Design,Jan-22,Zero Dep,Petrol,5,16433,First Owner,Automatic,2022,1969,18740,18740,300,43.75
2018 BMW X1 sDrive20i xLine,Dec-18,Third Party insurance,Petrol,5,17860,First Owner,Automatic,2018,15.71,1998,1998,189,29.9
2020 Toyota Innova Crysta 2.8 ZX AT BSIV,Feb-20,Comprehensive,Diesel,7,52000,First Owner,Automatic,2020,11.36,2755,2755,1715,22.5
2020 Mercedes-Benz C-Class Progressive C 220d,Jun-20,Comprehensive,Diesel,5,30000,First Owner,Automatic,2020,12.6,1950,1950,194,37.5
2021 Hyundai i20 N-Line N8 DCT BSVI,Feb-22,Comprehensive,Petrol,5,16684,First Owner,Automatic,2021,20.25,998,998,11841,11.11
2019 Mercedes-Benz AMG C43 4MATIC Coupe,Jul-19,Comprehensive,Petrol,5,30000,First Owner,Automatic,2019,2996,38487,38487,520,67
2012 Maruti Swift LXI BSIV,Dec-12,Comprehensive,Petrol,5,92543,First Owner,Manual,2012,1197,8180,8180,113,2.74
2021 Mahindra XUV700 AX7 AT Luxury Pack BSVI,Nov-21,Comprehensive,Petrol,7,25000,First Owner,Automatic,2021,1999,19713,19713,380,24.75
2016 Ford Ecosport 1.5 Diesel Titanium Plus,Dec-16,Comprehensive,Diesel,5,59870,First Owner,Manual,2016,21.7,1498,1498,9896,4.95
2016 Hyundai i20 Sportz 1.2,Jun-16,Comprehensive,Petrol,5,62700,First Owner,Manual,2016,18.6,1197,1197,8183,5.22
2019 Kia Seltos HTX Plus AT D,Sep-19,Third Party insurance,Diesel,5,42132,First Owner,Automatic,2019,17.8,1493,1493,1134,14.75
2018 Mercedes-Benz CLA 200 CGI Sport,Jul-18,Third Party insurance,Petrol,5,32000,First Owner,Automatic,2018,15.04,1991,1991,183,25.75
2010 Maruti A-Star Zxi,Jun-10,Comprehensive,Petrol,5,58873,First Owner,Manual,2010,19,998,998,661,1.82
2018 Renault Duster Petrol RXS CVT,Nov-18,Comprehensive,Petrol,5,10000,First Owner,Automatic,2018,14.99,1498,1498,1045,7.95
2022 Tata Altroz XZ Plus BSVI,Sep-23,Comprehensive,Petrol,5,14069,First Owner,Manual,2022,19.33,1199,1199,8683,8.24
2014 Nissan Terrano XV 110 PS Limited Edition,2014,Third Party insurance,Diesel,5,100000,1461 cc,2014,Power Steering,1461,1085,1085,248,6
